0 25.698 35.221 26.148 34.646
1 25.698 35.221 26.148 34.646
10 26.763 36.106 26.163 34.645
20 26.678 36.106 26.167 34.655
30 26.676 36.107 25.640 35.733
50 24.528 36.561 18.967 35.944
75 22.753 36.614 15.371 35.904
100 21.427 36.637 14.356 35.897
125 20.633 36.627 13.059 35.696
150 19.522 36.558 12.134 35.567
200 18.798 36.555 10.307 35.360
250 18.431 36.537 8.783 35.168
300 18.189 36.526 8.046 35.117
400 17.726 36.477 6.235 35.052
500 17.165 36.381 5.230 35.018
600 15.952 36.105 5.005 35.044
700 13.458 35.776 4.756 35.027
800 11.109 35.437 4.399 34.992
900 8.798 35.178 4.291 34.991
1000 6.292 35.044 4.179 34.986
1100 5.249 35.004 4.077 34.982
1200 4.813 34.995 3.969 34.975
1300 4.554 34.986 3.909 34.974
1400 4.357 34.977 3.831 34.973
1500 4.245 34.975 3.767 34.975
1750 4.028 34.973 3.600 34.975
2000 3.852 34.975 3.401 34.968
2500 3.424 34.968 2.942 34.948
3000 2.963 34.946 2.475 34.923
3500 2.462 34.920 2.219 34.904
4000 2.259 34.904 2.177 34.896
